Team,nickname,abbrev,conference,location,home_venue,season
Pittsburgh,Panthers,PITT,ACC,"Pittsburgh, PA",Petersen Events Center,2024
Portland,Pilots,UP,WCC,"Portland, OR",Chiles Center,2024
Portland State,Vikings,PORTL,Big Sky,"Portland, OR",Viking Pavilion,2024
Prairie View A&M,Panthers,PVAMU,SWAC,"Prairie View, TX",William Nicks Building,2024
Presbyterian,Blue Hose,PRSBY,Big South,"Clinton, SC",Ross E. Templeton P.E. Center,2024
Princeton,Tigers,PRIN,Ivy,"Princeton, NJ",Jadwin Gymnasium,2024
Providence,Friars,PROV,Big East,"Providence, RI",Amica Mutual Pavilion,2024
Purdue,Boilermakers,PURD,Big Ten,"West Lafayette, IN",Mackey Arena,2024
Queens University,Royals,QUC,A-Sun,"Charlotte, NC",Curry Arena,2024
Quinnipiac,Bobcats,QUIN,MAAC,"Hamden, CT",M&T Bank Arena,2024
Radford,Highlanders,RADF,Big South,"Radford, VA",Donald N. Dedmon Center,2024
Rhode Island,Rams,URI,A-10,"Kingston, RI",Ryan Center,2024
Rice,Owls,RICE,AAC,"Houston, TX",Tudor Fieldhouse,2024
Richmond,Spiders,RICH,A-10,"Richmond, VA",Robins Center,2024
Rider,Broncs,RIDER,MAAC,"Lawrenceville, NJ",Alumni Gymnasium (Rider),2024
Robert Morris,Colonials,RMU,Horizon,"Moon Township, PA",UPMC Events Center,2024
Rutgers,Scarlet Knights,RUTG,Big Ten,"Piscataway, NJ",Jersey Mike's Arena,2024
Sacramento State,Hornets,CSUS,Big Sky,"Sacramento, CA",The Nest,2024
Sacred Heart,Pioneers,HEART,NEC,"Fairfield, CT",William H. Pitt Center,2024
Saint Joseph's,Hawks,STJOE,A-10,"Philadelphia, PA",Michael J. Hagan '85 Arena,2024
Saint Louis,Billikens,STLOU,A-10,"St. Louis, MO",Chaifetz Arena,2024
Saint Mary's,Gaels,STMRY,WCC,"Moraga, CA",University Credit Union Pavilion,2024
Saint Peter's,Peacocks,STPC,MAAC,"Jersey City, NJ",Run Baby Run Arena,2024
Sam Houston State,Bearkats,SHSU,C-USA,"Huntsville, TX",Bernard G. Johnson Coliseum,2024
Samford,Bulldogs,SAMF,SoCon,"Homewood, AL",Pete Hanna Center,2024
San Diego,Toreros,SAND,WCC,"San Diego, CA",Jenny Craig Pavilion,2024
San Diego State,Aztecs,SDSU,MWC,"San Diego, CA",Viejas Arena,2024
San Francisco,Dons,SANFR,WCC,"San Francisco, CA",War Memorial at the Sobrato Center,2024
San Jose State,Spartans,SJSU,MWC,"San Jose, CA",Provident Credit Union Event Center,2024
Santa Clara,Broncos,SCU,WCC,"Santa Clara, CA",Leavey Center,2024
Seattle,Redhawks,SEA,WAC,"Seattle, WA",Redhawk Center,2024
Seton Hall,Pirates,SETON,Big East,"Newark, NJ",Prudential Center,2024
Siena,Saints,SIENA,MAAC,"Albany, NY",MVP Arena,2024
SIU-Edwardsville,Cougars,SIUE,OVC,"Edwardsville, IL",First Community Arena at the Vadalabene Center,2024
South Alabama,Jaguars,USA,Sun Belt,"Mobile, AL",Mitchell Center,2024
