Team,nickname,abbrev,conference,location,home_venue,season
Tulane,Green Wave,TULAN,AAC,"New Orleans, LA",Avron B. Fogelman Arena in the Devlin Fieldhouse,2024
Tulsa,Golden Hurricane,TULSA,AAC,"Tulsa, OK",Donald W. Reynolds Center,2024
UAB,Blazers,UAB,AAC,"Birmingham, AL",Bartow Arena,2024
UC Davis,Aggies,UCD,Big West,"Davis, CA",University Credit Union Center,2024
UC Irvine,Anteaters,UCI,Big West,"Irvine, CA",Bren Events Center,2024
UC Riverside,Highlanders,UCR,Big West,"Riverside, CA",SRC Arena,2024
UC San Diego,Tritons,UCSD,Big West,"San Diego, CA",LionTree Arena,2024
UC Santa Barbara,Gauchos,UCSB,Big West,"Santa Barbara, CA",The Thunderdome,2024
UCF,Knights,UCF,Big 12,"Orlando, FL",Addition Financial Arena,2024
UCLA,Bruins,UCLA,Pac-12,"Los Angeles, CA",Pauley Pavilion,2024
UConn,Huskies,UConn,Big East,"Storrs, CT",Harry A. Gampel Pavilion,2024
UMass Lowell,River Hawks,UML,AM East,"Lowell, MA",Costello Athletic Center,2024
UMBC,Retrievers,UMBC,AM East,"Baltimore, MD",Chesapeake Employers Insurance Arena,2024
UMKC,Kangaroos,UMKC,Summit,"Kansas City, MO",Swinney Recreation Center,2024
UNC Asheville,Bulldogs,UNCA,Big South,"Asheville, NC",Kimmel Arena,2024
UNC Greensboro,Spartans,UNCG,SoCon,"Greensboro, NC",Greensboro Coliseum Fieldhouse,2024
UNC Wilmington,Seahawks,UNCW,CAA,"Wilmington, NC",Trask Coliseum,2024
UNLV,Runnin' Rebels,UNLV,MWC,"Las Vegas, NV",Thomas & Mack Center,2024
USC,Trojans,USC,Pac-12,"Los Angeles, CA",Galen Center,2024
USC Upstate,Spartans,USCU,Big South,"Spartanburg, SC",G.B. Hodge Center,2024
Utah,Utes,U of U,Pac-12,"Salt Lake City, UT",Jon M. Huntsman Center,2024
Utah State,Aggies,USU,MWC,"Logan, UT",Dee Glen Smith Spectrum,2024
Utah Tech,Trailblazers,UTECH,WAC,"St. George, UT",Burns Arena,2024
Utah Valley,Wolverines,UVU,WAC,"Orem, UT",UCCU Center,2024
UTEP,Miners,UTEP,C-USA,"El Paso, TX",Don Haskins Center,2024
Valparaiso,Beacons,VAL,MVC,"Valparaiso, IN",Athletics-Recreation Center,2024
Vanderbilt,Commodores,VANDY,SEC,"Nashville, TN",Memorial Gymnasium (TN),2024
VCU,Rams,VCU,A-10,"Richmond, VA",Stuart C. Siegel Center,2024
Vermont,Catamounts,UVM,AM East,"Burlington, VT",Patrick Gymnasium,2024
Villanova,Wildcats,VILL,Big East,"Villanova, PA",Finneran Pavilion,2024
Virginia,Cavaliers,UVA,ACC,"Charlottesville, VA",John Paul Jones Arena,2024
Virginia Military,Keydets,VMI,SoCon,"Lexington, VA",Cameron Hall,2024
Virginia Tech,Hokies,VT,ACC,"Blacksburg, VA",Cassell Coliseum,2024
Wagner,Seahawks,WAGNR,NEC,"Staten Island, NY",Spiro Sports Center,2024
Wake Forest,Demon Deacons,WF,ACC,"Winston-Salem, NC",Lawrence Joel Veterans Memorial Coliseum,2024
Washington,Huskies,UWASH,Pac-12,"Seattle, WA",Alaska Airlines Arena at Hec Edmundson Pavilion,2024
Washington State,Cougars,WSU,Pac-12,"Pullman, WA",Friel Court at Beasley Coliseum,2024
Weber State,Wildcats,WEBER,Big Sky,"Ogden, UT",Dee Events Center,2024
West Virginia,Mountaineers,WVU,Big 12,"Morgantown, WV",WVU Coliseum,2024
Western Carolina,Catamounts,WCU,SoCon,"Cullowhee, NC",Ramsey Regional Activity Center,2024
Western Illinois,Leathernecks,WIU,OVC,"Macomb, IL",LeRoy A. Ufkes Court at Western Hall,2024
Western Kentucky,Hilltoppers,WKU,C-USA,"Bowling Green, KY",E. A. Diddle Arena,2024
Western Michigan,Broncos,WMY,MAC,"Kalamazoo, MI",University Arena (MI),2024
Wichita State,Shockers,WICHI,AAC,"Wichita, KS",Charles Koch Arena,2024
William & Mary,Tribe,W&M,CAA,"Williamsburg, VA",Kaplan Arena,2024
Winthrop,Eagles,WIN,Big South,"Rock Hill, SC",Winthrop Coliseum,2024
Wisconsin,Badgers,UWISC,Big Ten,"Madison, WI",Kohl Center,2024
Wofford,Terriers,WOFF,SoCon,"Spartanburg, SC",Jerry Richardson Indoor Stadium,2024
Wright State,Raiders,WRST,Horizon,"Dayton, OH",Nutter Center,2024
Wyoming,Cowboys,UWYOM,MWC,"Laramie, WY",Arena Auditorium,2024
Xavier,Musketeers,XAV,Big East,"Cincinnati, OH",Cintas Center,2024
Yale,Bulldogs,YALE,Ivy,"New Haven, CT",John J. Lee Amphitheater,2024
Youngstown State,Penguins,YSU,Horizon,"Youngstown, OH",Beeghly Center,2024
Abilene Christian,Wildcats,ACU,WAC,"Abilene, TX",Moody Coliseum (Abilene),2023
Air Force,Falcons,AF,MWC,"Colorado Springs, CO",Clune Arena,2023
Akron,Zips,AKR,MAC,"Akron, OH",James A. Rhodes Arena,2023
Alabama,Crimson Tide,UA,SEC,"Tuscaloosa, AL",Coleman Coliseum,2023
Alabama A&M,Bulldogs,AAMU,SWAC,"Huntsville, AL",Event Center,2023
Alabama State,Hornets,ALAST,SWAC,"Montgomery, AL",Dunn-Oliver Acadome,2023
Albany,Great Danes,ALBNY,AM East,"Albany, NY",Broadview Center,2023
Alcorn State,Braves,ALCST,SWAC,"Lorman, MS",Davey L. Whitney Complex,2023
American University,Eagles,AMERU,Patriot,"Washington, DC",Bender Arena,2023
Appalachian State,Mountaineers,APPST,Sun Belt,"Boone, NC",George M. Holmes Convocation Center,2023
Arizona,Wildcats,ARZ,Pac-12,"Tucson, AZ",McKale Center,2023
Arizona State,Sun Devils,ASU,Pac-12,"Tempe, AZ",Desert Financial Arena,2023
Arkansas,Razorbacks,ARK,SEC,"Fayetteville, AR",Bud Walton Arena,2023
Arkansas State,Red Wolves,ARKST,Sun Belt,"Jonesboro, AR",First National Bank Arena,2023
Arkansas-Pine Bluff,Golden Lions,UAPB,SWAC,"Pine Bluff, AR",H.O. Clemmons Arena,2023
Army West Point,Black Knights,USMA,Patriot,"West Point, NY",Christl Arena,2023
Auburn,Tigers,AUB,SEC,"Auburn, AL",Neville Arena,2023
Austin Peay,Governors,APSU,A-Sun,"Clarksville, TN",F&M Bank Arena,2023
Ball State,Cardinals,BLLST,MAC,"Muncie, IN",John E. Worthen Arena,2023
Baylor,Bears,BAYL,Big 12,"Waco, TX",Foster Pavilion,2023
Bellarmine,Knights,BELL,A-Sun,"Louisville, KY",Freedom Hall,2023
Belmont,Bruins,BLMNT,MVC,"Nashville, TN",Curb Event Center Arena,2023
Bethune-Cookman,Wildcats,BTHCK,SWAC,"Daytona Beach, FL",Moore Gymnasium (FL),2023
Binghamton,Bearcats,BNGH,AM East,"Binghamton, NY",Events Center (Binghamton),2023
Boise State,Broncos,BOISE,MWC,"Boise, ID",ExtraMile Arena,2023
Boston College,Eagles,BOS,ACC,"Chestnut Hill, MA",Silvio O. Conte Forum,2023
Boston University,Terriers,BSTN,Patriot,"Boston, MA",Case Gym,2023
Bowling Green,Falcons,BGSU,MAC,"Bowling Green, OH",Stroh Center,2023
Bradley,Braves,BRDLY,MVC,"Peoria, IL",Carver Arena,2023
Brigham Young,Cougars,BYU,WCC,"Provo, UT",Marriott Center,2023
Brown,Bears,BRWN,Ivy,"Providence, RI",Pizzitola Sports Center,2023
Bryant,Bulldogs,BRYNT,AM East,"Smithfield, RI",Chace Athletic Center,2023
Bucknell,Bison,BUCK,Patriot,"Lewisburg, PA",Sojka Pavilion,2023
Buffalo,Bulls,BUFF,MAC,"Buffalo, NY",Alumni Arena,2023
Butler,Bulldogs,BTLR,Big East,"Indianapolis, IN",Hinkle Fieldhouse,2023
Cal Poly,Mustangs,POLY,Big West,"San Luis Obispo, CA",Robert A. Mott Athletics Center,2023
Cal State Bakersfield,Roadrunners,CSUB,Big West,"Bakersfield, CA",Icardo Center,2023
Cal State Fullerton,Titans,CSFUL,Big West,"Fullerton, CA",Titan Gym,2023
Cal State Northridge,Matadors,CSUN,Big West,"Northridge, CA",Premier America Credit Union Arena,2023
California,Golden Bears,Cal,Pac-12,"Berkeley, CA",Haas Pavilion,2023
California Baptist,Lancers,CALBU,WAC,"Riverside, CA",Dale E. and Sarah Ann Fowler Events Center,2023
Campbell,Fighting Camels,CAM,Big South,"Buies Creek, NC",John W. Pope Jr. Convocation Center,2023
Canisius,Golden Griffins,CAN,MAAC,"Buffalo, NY",Koessler Athletic Center,2023
Central Arkansas,Bears,UCA,A-Sun,"Conway, AR",Farris Center,2023
Central Connecticut State,Blue Devils,CCSU,NEC,"New Britain, CT",William H. Detrick Gymnasium,2023
Central Michigan,Chippewas,CMU,MAC,"Mount Pleasant, MI",McGuirk Arena,2023
Charleston,Cougars,C of C,CAA,"Charleston, SC",TD Arena,2023
Charleston Southern,Buccaneers,CHASO,Big South,"Charleston, SC",Buccaneer Fieldhouse,2023
Charlotte,49ers,CHAR,C-USA,"Charlotte, NC",Dale F. Halton Arena,2023
Chattanooga,Mocs,CHATT,SoCon,"Chattanooga, TN",McKenzie Arena,2023
Chicago State,Cougars,CHIST,INDEP,"Chicago, IL",Emil and Patricia Jones Convocation Center,2023
Cincinnati,Bearcats,CINCY,AAC,"Cincinnati, OH",Fifth Third Arena,2023
Clemson,Tigers,CLEM,ACC,"Clemson, SC",Littlejohn Coliseum,2023
Cleveland State,Vikings,CLEST,Horizon,"Cleveland, OH",Wolstein Center,2023
Coastal Carolina,Chanticleers,CCU,Sun Belt,"Conway, SC",The HTC Center,2023
Colgate,Raiders,COLGT,Patriot,"Hamilton, NY",Cotterell Court,2023
Colorado,Buffaloes,COLO,Pac-12,"Boulder, CO",CU Events Center,2023
Colorado State,Rams,COLST,MWC,"Fort Collins, CO",Moby Arena,2023
Columbia,Lions,COM,Ivy,"New York, NY",Francis S. Levien Gymnasium,2023
Coppin State,Eagles,COPST,MEAC,"Baltimore, MD",Physical Education Complex,2023
Cornell,Big Red,COR,Ivy,"Ithaca, NY",Newman Arena,2023
Creighton,Bluejays,CREI,Big East,"Omaha, NE",CHI Health Center Omaha,2023
Dartmouth,Big Green,DART,Ivy,"Hanover, NH",Edward Leede Arena,2023
Davidson,Wildcats,DAV,A-10,"Davidson, NC",John M. Belk Arena,2023
Dayton,Flyers,DAY,A-10,"Dayton, OH",UD Arena,2023
Delaware,Fightin Blue Hens,DEL,CAA,"Newark, DE",Bob Carpenter Center,2023
Delaware State,Hornets,DESU,MEAC,"Dover, DE","Memorial Hall (Dover, DE)",2023
Denver,Pioneers,DEN,Summit,"Denver, CO",Hamilton Gymnasium,2023
DePaul,Blue Demons,DEP,Big East,"Chicago, IL",Wintrust Arena,2023
Detroit-Mercy,Titans,UDM,Horizon,"Detroit, MI",Calihan Hall,2023
Drake,Bulldogs,DRAKE,MVC,"Des Moines, IA",The Knapp Center,2023
Drexel,Dragons,DREX,CAA,"Philadelphia, PA",Daskalakis Athletic Center,2023
Duke,Blue Devils,DUKE,ACC,"Durham, NC",Cameron Indoor Stadium,2023
Duquesne,Dukes,DUQ,A-10,"Pittsburgh, PA",UPMC Cooper Fieldhouse,2023
East Carolina,Pirates,ECAR,AAC,"Greenville, NC",Williams Arena at Minges Coliseum,2023
East Tennessee State,Buccaneers,ETSU,SoCon,"Johnson City, TN",Freedom Hall Civic Center,2023
Eastern Illinois,Panthers,EIU,OVC,"Charleston, IL",Lantz Arena,2023
Eastern Kentucky,Colonels,EKU,A-Sun,"Richmond, KY",Baptist Health Arena,2023
Eastern Michigan,Eagles,EMICH,MAC,"Ypsilanti, MI",George Gervin GameAbove Center,2023
Eastern Washington,Eagles,EWASH,Big Sky,"Cheney, WA",Reese Court,2023
Elon,Phoenix,ELON,CAA,"Elon, NC",Schar Center,2023
Evansville,Purple Aces,UE,MVC,"Evansville, IN",Ford Center,2023
Fairfield,Stags,FAIR,MAAC,"Fairfield, CT",Leo D. Mahoney Arena,2023
Fairleigh Dickinson,Knights,FDU,NEC,"Hackensack, NJ",Bogota Savings Bank Center,2023
Florida,Gators,FLA,SEC,"Gainesville, FL",Exactech Arena at the Stephen C. O'Connell Center,2023
Florida A&M,Rattlers,FAMU,SWAC,"Tallahassee, FL",Al Lawson Center,2023
Florida Atlantic,Owls,FAU,C-USA,"Boca Raton, FL",Eleanor R. Baldwin Arena,2023
Florida Gulf Coast,Eagles,FGCU,A-Sun,"Fort Myers, FL",Alico Arena,2023
Florida International,Golden Panthers,FIU,C-USA,"Miami, FL",Ocean Bank Convocation Center,2023
Florida State,Seminoles,FLAST,ACC,"Tallahassee, FL",Donald L. Tucker Center,2023
Fordham,Rams,FORD,A-10,"Bronx, NY",Rose Hill Gymnasium,2023
Fort Wayne,Mastodons,IPFW,Horizon,"Fort Wayne, IN",Allen County War Memorial Coliseum,2023
Fresno State,Bulldogs,FRSNO,MWC,"Fresno, CA",Save Mart Center,2023
Furman,Paladins,FRMN,SoCon,"Greenville, SC",Timmons Arena,2023
Gardner-Webb,Runnin' Bulldogs,GWU,Big South,"Boiling Springs, NC",Paul Porter Arena,2023
George Mason,Patriots,GMU,A-10,"Fairfax, VA",EagleBank Arena,2023
George Washington,Revolutionaries,GW,A-10,"Washington, DC",Charles E. Smith Center,2023
Georgetown,Hoyas,GTOWN,Big East,"Washington, DC",Capital One Arena,2023
Georgia,Bulldogs,UGA,SEC,"Athens, GA",Stegeman Coliseum,2023
Georgia Southern,Eagles,GASO,Sun Belt,"Statesboro, GA",W.S. Hanner Fieldhouse,2023
Georgia State,Panthers,GAST,Sun Belt,"Atlanta, GA",GSU Convocation Center,2023
Georgia Tech,Yellow Jackets,GT,ACC,"Atlanta, GA",McCamish Pavilion,2023
Gonzaga,Bulldogs,ZAGS,WCC,"Spokane, WA",McCarthey Athletic Center,2023
Grambling State,Tigers,GRAMB,SWAC,"Grambling, LA",Fredrick C. Hobdy Assembly Center,2023
Grand Canyon,Antelopes,GCU,WAC,"Phoenix, AZ",GCU Arena,2023
Green Bay,Phoenix,UWGB,Horizon,"Ashwaubenon, WI",Resch Center,2023
Hampton,Pirates,HMPTN,CAA,"Hampton, VA",Convocation Center (VA),2023
Hartford,Hawks,UHA,INDEP,"Hartford, CT",Chase Arena,2023
Harvard,Crimson,HAR,Ivy,"Cambridge, MA",Lavietes Pavilion,2023
Hawaii,Rainbow Warriors,HAW,Big West,"Honolulu, HI",Stan Sheriff Center,2023
High Point,Panthers,HP,Big South,"High Point, NC",Nido and Mariana Qubein Arena,2023
Hofstra,Pride,HOF,CAA,"Hempstead, NY",David S. Mack Sports and Exhibition Complex,2023
Holy Cross,Crusaders,HC,Patriot,"Worcester, MA",Hart Center,2023
Houston,Cougars,U of H,AAC,"Houston, TX",Fertitta Center,2023
Houston Christian,Huskies,HCU,Southland,"Houston, TX",Sharp Gymnasium,2023
Howard,Bison,HWRD,MEAC,"Washington, DC",Burr Gymnasium,2023
Idaho,Vandals,IDAHO,Big Sky,"Moscow, ID",ICCU Arena,2023
Idaho State,Bengals,IDHST,Big Sky,"Pocatello, ID",Holt Arena,2023
Illinois,Fighting Illini,ILL,Big Ten,"Champaign, IL",State Farm Center,2023
Illinois State,Redbirds,ILLST,MVC,"Normal, IL",CEFCU Arena,2023
Illinois-Chicago,Flames,UIC,MVC,"Chicago, IL",Credit Union 1 Arena,2023
Incarnate Word,Cardinals,UIW,Southland,"San Antonio, TX",Alice P. McDermott Convocation Center,2023
Indiana,Hoosiers,IU,Big Ten,"Bloomington, IN",Simon Skjodt Assembly Hall,2023
Indiana State,Sycamores,INDST,MVC,"Terre Haute, IN",Hulman Center,2023
Iona,Gaels,IONA,MAAC,"New Rochelle, NY",Hynes Athletics Center,2023
Iowa,Hawkeyes,IOWA,Big Ten,"Iowa City, IA",Carver-Hawkeye Arena,2023
Iowa State,Cyclones,IWAST,Big 12,"Ames, IA",James H. Hilton Coliseum,2023
IUPUI,Jaguars,IUPUI,Horizon,"Indianapolis, IN",Indiana Farmers Coliseum,2023
Jackson State,Tigers,JKSN,SWAC,"Jackson, MS",Lee E. Williams Athletic and Assembly Center,2023
Jacksonville,Dolphins,JAC,A-Sun,"Jacksonville, FL",Swisher Gymnasium,2023
Jacksonville State,Gamecocks,JKSNV,A-Sun,"Jacksonville, AL",Pete Mathews Coliseum,2023
James Madison,Dukes,JMU,Sun Belt,"Harrisonburg, VA",Atlantic Union Bank Center,2023
Kansas,Jayhawks,KU,Big 12,"Lawrence, KS",Phog Allen Fieldhouse,2023
Kansas State,Wildcats,KSU,Big 12,"Manhattan, KS",Bramlage Coliseum,2023
Kennesaw State,Owls,KENN,A-Sun,"Kennesaw, GA",KSU Convocation Center,2023
Kent State,Golden Flashes,KENT,MAC,"Kent, OH",M.A.C. Center,2023
Kentucky,Wildcats,UK,SEC,"Lexington, KY",Rupp Arena,2023
La Salle,Explorers,LASAL,A-10,"Philadelphia, PA",Tom Gola Arena,2023
Lafayette,Leopards,LAFAY,Patriot,"Easton, PA",Kirby Sports Center,2023
Lamar,Cardinals,LAMAR,Southland,"Beaumont, TX",Montagne Center,2023
Lehigh,Mountain Hawks,LEHI,Patriot,"Bethlehem, PA",Stabler Arena,2023
Liberty,Flames,LBRTY,A-Sun,"Lynchburg, VA",Liberty Arena,2023
Lindenwood,Lions,LIND,OVC,"Saint Charles, MO",Hyland Arena,2023
Lipscomb,Bisons,LIP,A-Sun,"Nashville, TN",Allen Arena,2023
Little Rock,Trojans,UALR,OVC,"Little Rock, AR",Jack Stephens Center,2023
Long Beach State,Beach,LBSU,Big West,"Long Beach, CA",Walter Pyramid,2023
Long Island,Sharks,LIU,NEC,"Brooklyn, NY",Steinberg Wellness Center,2023
Longwood,Lancers,LONG,Big South,"Farmville, VA",Joan Perry Brock Center,2023
Louisiana,Ragin' Cajuns,LA,Sun Belt,"Lafayette, LA",Cajundome,2023
Louisiana Tech,Bulldogs,LATCH,C-USA,"Ruston, LA",Thomas Assembly Center,2023
Louisiana-Monroe,Warhawks,ULM,Sun Belt,"Monroe, LA",Fant-Ewing Coliseum,2023
Louisville,Cardinals,LVILL,ACC,"Louisville, KY",KFC Yum! Center,2023
Loyola (IL),Ramblers,L-IL,A-10,"Chicago, IL",Joseph J. Gentile Arena,2023
Loyola (MD),Greyhounds,L-MD,Patriot,"Baltimore, MD",Reitz Arena,2023
Loyola Marymount,Lions,LOYMR,WCC,"Los Angeles, CA",Gersten Pavilion,2023
LSU,Tigers,LSU,SEC,"Baton Rouge, LA",Pete Maravich Assembly Center,2023
Maine,Black Bears,MAINE,AM East,"Bangor, ME",Cross Insurance Center,2023
Manhattan,Jaspers,MAN,MAAC,"Riverdale, NY",Draddy Gymnasium,2023
Marist,Red Foxes,MRST,MAAC,"Poughkeepsie, NY",McCann Arena,2023
Marquette,Golden Eagles,MARQ,Big East,"Milwaukee, WI",Fiserv Forum,2023
Marshall,Thundering Herd,MARSH,Sun Belt,"Huntington, WV",Cam Henderson Center,2023
Maryland,Terrapins,UMD,Big Ten,"College Park, MD",XFINITY Center,2023
Maryland-Eastern Shore,Hawks,UMES,MEAC,"Princess Anne, MD",Hytche Athletic Center,2023
Massachusetts,Minutemen,UMass,A-10,"Amherst, MA",William D. Mullins Memorial Center,2023
McNeese State,Cowboys,MCNST,Southland,"Lake Charles, LA",Legacy Center,2023
Memphis,Tigers,MEMP,AAC,"Memphis, TN",FedExForum,2023
Mercer,Bears,MER,SoCon,"Macon, GA",Hawkins Arena,2023
Merrimack College,Warriors,MERRI,NEC,"North Andover, MA",Bert Hammel Court,2023
Miami (FL),Hurricanes,UMFL,ACC,"Coral Gables, FL",Watsco Center,2023
Miami (OH),RedHawks,MIAMI,MAC,"Oxford, OH",Millett Hall,2023
Michigan,Wolverines,MICH,Big Ten,"Ann Arbor, MI",Crisler Center,2023
Michigan State,Spartans,MCHST,Big Ten,"East Lansing, MI",Breslin Center,2023
Middle Tennessee State,Blue Raiders,MTSU,C-USA,"Murfreesboro, TN",Murphy Center,2023
Milwaukee,Panthers,UWM,Horizon,"Milwaukee, WI",UW-Milwaukee Panther Arena,2023
Minnesota,Golden Gophers,MINN,Big Ten,"Minneapolis, MN",Williams Arena,2023
Mississippi State,Bulldogs,MISST,SEC,"Starkville, MS",Humphrey Coliseum,2023
Mississippi Valley State,Delta Devils,MVSU,SWAC,"Itta Bena, MS",Robert W. Harrison HPER Complex,2023
Missouri,Tigers,MZZOU,SEC,"Columbia, MO",Mizzou Arena,2023
Missouri State,Bears,MZZST,MVC,"Springfield, MO",Great Southern Bank Arena,2023
Monmouth,Hawks,MONM,CAA,"West Long Branch, NJ",OceanFirst Bank Center,2023
Montana,Grizzlies,MONT,Big Sky,"Missoula, MT",Dahlberg Arena,2023
Montana State,Fighting Bobcats,MTSTU,Big Sky,"Bozeman, MT",Worthington Arena,2023
Morehead State,Eagles,MRHD,OVC,"Morehead, KY",Ellis T. Johnson Arena,2023
Morgan State,Bears,MORST,MEAC,"Baltimore, MD",Talmadge L. Hill Field House,2023
Mount St. Mary's,Mountaineers,MSMU,MAAC,"Emmitsburg, MD",Knott Arena,2023
Murray State,Racers,MRRY,MVC,"Murray, KY",CFSB Center,2023
N.J.I.T.,Highlanders,NJIT,AM East,"Newark, NJ",NJIT Wellness and Events Center,2023
Navy,Midshipmen,USNA,Patriot,"Annapolis, MD",Alumni Hall (Navy),2023
NC State,Wolfpack,NCST,ACC,"Raleigh, NC",PNC Arena,2023
Nebraska,Cornhuskers,UNL,Big Ten,"Lincoln, NE",Pinnacle Bank Arena,2023
Nevada,Wolf Pack,UNR,MWC,"Reno, NV",Lawlor Events Center,2023
New Hampshire,Wildcats,NEWHA,AM East,"Durham, NH",Lundholm Gymnasium,2023
New Mexico,Lobos,UNM,MWC,"Albuquerque, NM",The Pit,2023
New Mexico State,Aggies,NMSU,WAC,"Las Cruces, NM",Pan American Center,2023
New Orleans,Privateers,NEWOR,Southland,"New Orleans, LA",Lakefront Arena,2023
Niagara,Purple Eagles,NIAG,MAAC,"Niagara Falls, NY",Gallagher Center,2023
Nicholls State,Colonels,NICH,Southland,"Thibodaux, LA",David R. Stopher Gymnasium,2023
Norfolk State,Spartans,NORF,MEAC,"Norfolk, VA",Joseph G. Echols Hall,2023
North Alabama,Lions,UNA,A-Sun,"Florence, AL",Flowers Hall,2023
North Carolina,Tar Heels,UNC,ACC,"Chapel Hill, NC",Dean E. Smith Center,2023
North Carolina A&T,Aggies,NC A&T,CAA,"Greensboro, NC",Corbett Sports Center,2023
North Carolina Central,Eagles,NCCU,MEAC,"Durham, NC",McDougald-McLendon Arena,2023
North Dakota,Fighting Hawks,UND,Summit,"Grand Forks, ND",Betty Engelstad Sioux Center,2023
North Dakota State,Bison,NDSU,Summit,"Fargo, ND",Scheels Center,2023
North Florida,Ospreys,UNF,A-Sun,"Jacksonville, FL",UNF Arena,2023
North Texas,Mean Green,UNT,C-USA,"Denton, TX",The Super Pit,2023
Northeastern,Huskies,NEU,CAA,"Boston, MA",Matthews Arena,2023
Northern Arizona,Lumberjacks,NAU,Big Sky,"Flagstaff, AZ",J. Lawrence Walkup Skydome,2023
Northern Colorado,Bears,NOCOL,Big Sky,"Greeley, CO",Bank of Colorado Arena,2023
Northern Illinois,Huskies,NIU,MAC,"DeKalb, IL",NIU Convocation Center,2023
Northern Iowa,Panthers,UNI,MVC,"Cedar Falls, IA",McLeod Center,2023
Northern Kentucky,Norse,NKU,Horizon,"Highland Heights, KY",Truist Arena,2023
Northwestern,Wildcats,NWU,Big Ten,"Evanston, IL",Welsh-Ryan Arena,2023
Northwestern State,Demons,NSU,Southland,"Natchitoches, LA",Prather Coliseum,2023
Notre Dame,Fighting Irish,ND,ACC,"South Bend, IN",Purcell Pavilion,2023
Oakland,Golden Grizzlies,OAKL,Horizon,"Rochester, MI",OU Credit Union O'rena,2023
Ohio,Bobcats,OHIO,MAC,"Athens, OH",Convocation Center (OH),2023
Ohio State,Buckeyes,OSU,Big Ten,"Columbus, OH",Value City Arena,2023
Oklahoma,Sooners,OKLA,Big 12,"Norman, OK",Lloyd Noble Center,2023
Oklahoma State,Cowboys,OKST,Big 12,"Stillwater, OK",Gallagher-Iba Arena,2023
Old Dominion,Monarchs,ODU,Sun Belt,"Norfolk, VA",Chartway Arena,2023
Ole Miss,Rebels,MISS,SEC,"Oxford, MS",The Sandy and John Black Pavilion at Ole Miss,2023
Omaha,Mavericks,OMAHA,Summit,"Omaha, NE",Baxter Arena,2023
Oral Roberts,Golden Eagles,ORU,Summit,"Tulsa, OK",Mabee Center,2023
Oregon,Ducks,OREG,Pac-12,"Eugene, OR",Matthew Knight Arena,2023
Oregon State,Beavers,ORST,Pac-12,"Corvallis, OR",Gill Coliseum,2023
Pacific,Tigers,PACI,WCC,"Stockton, CA",Alex G. Spanos Center,2023
Penn State,Nittany Lions,PENST,Big Ten,"University Park, PA",Bryce Jordan Center,2023
Pennsylvania,Quakers,PENN,Ivy,"Philadelphia, PA",The Palestra,2023
Pepperdine,Waves,PEPP,WCC,"Malibu, CA",Firestone Fieldhouse,2023
Pittsburgh,Panthers,PITT,ACC,"Pittsburgh, PA",Petersen Events Center,2023
Portland,Pilots,UP,WCC,"Portland, OR",Chiles Center,2023
Portland State,Vikings,PORTL,Big Sky,"Portland, OR",Viking Pavilion,2023
Prairie View A&M,Panthers,PVAMU,SWAC,"Prairie View, TX",William Nicks Building,2023
Presbyterian,Blue Hose,PRSBY,Big South,"Clinton, SC",Ross E. Templeton P.E. Center,2023
Princeton,Tigers,PRIN,Ivy,"Princeton, NJ",Jadwin Gymnasium,2023
Providence,Friars,PROV,Big East,"Providence, RI",Amica Mutual Pavilion,2023
Purdue,Boilermakers,PURD,Big Ten,"West Lafayette, IN",Mackey Arena,2023
Queens University,Royals,QUC,A-Sun,"Charlotte, NC",Curry Arena,2023
Quinnipiac,Bobcats,QUIN,MAAC,"Hamden, CT",M&T Bank Arena,2023
Radford,Highlanders,RADF,Big South,"Radford, VA",Donald N. Dedmon Center,2023
Rhode Island,Rams,URI,A-10,"Kingston, RI",Ryan Center,2023
Rice,Owls,RICE,C-USA,"Houston, TX",Tudor Fieldhouse,2023
Richmond,Spiders,RICH,A-10,"Richmond, VA",Robins Center,2023
Rider,Broncs,RIDER,MAAC,"Lawrenceville, NJ",Alumni Gymnasium (Rider),2023
Robert Morris,Colonials,RMU,Horizon,"Moon Township, PA",UPMC Events Center,2023
